occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
43-4061,"Eligibility Interviewers, Government Programs",680.0,1.04,56040.0,"Eligibility Interviewers, Government Programs",0.0597,154800,56090.0,Office & Administrative Support,40.596000000000004,38107200.0
41-3041,Travel Agents,100.0,0.45,49180.0,Travel Agents,0.4054,55110,54660.0,Sales,40.54,4918000.0
13-2082,Tax Preparers,310.0,0.97,64780.0,Tax Preparers,0.1283,76480,60930.0,Business & Financial,39.772999999999996,20081800.0
43-4071,File Clerks,250.0,0.81,44950.0,File Clerks,0.1568,73440,45590.0,Office & Administrative Support,39.199999999999996,11237500.0
43-4121,"Library Assistants, Clerical",400.0,1.09,38580.0,"Library Assistants, Clerical",0.0978,85520,39370.0,Office & Administrative Support,39.12,15432000.0
29-1131,Veterinarians,420.0,1.17,138940.0,Veterinarians,0.0926,83900,142680.0,Healthcare Practitioners,38.892,58354800.0
53-3031,Driver/Sales Workers,1350.0,0.78,41260.0,Driver/Sales Workers,0.0281,409180,40730.0,Transportation & Material Moving,37.935,55701000.0
19-4042,"Environmental Science and Protection Technicians, Including Health",260.0,1.77,51550.0,"Environmental Science and Protection Technicians, Including Health",0.1444,34670,60800.0,"Life, Physical & Social Science",37.544,13403000.0
29-2099,"Health Technologists and Technicians, All Other",820.0,1.05,55900.0,"Health Technologists and Technicians, All Other",0.0445,182610,58710.0,Healthcare Practitioners,36.489999999999995,45838000.0
11-9033,"Education Administrators, Postsecondary",540.0,0.7,157420.0,"Education Administrators, Postsecondary",0.0644,180470,126540.0,Management,34.775999999999996,85006800.0
19-1029,"Biological Scientists, All Other",140.0,0.58,86300.0,"Biological Scientists, All Other",0.2452,55850,106330.0,"Life, Physical & Social Science",34.328,12082000.0
27-2012,Producers and Directors,370.0,0.61,66800.0,Producers and Directors,0.092,143120,113300.0,"Arts, Design & Media",34.04,24716000.0
15-2041,Statisticians,160.0,1.27,83550.0,Statisticians,0.2107,29030,115700.0,Computer & Mathematical,33.712,13368000.0
29-9021,Health Information Technologists and Medical Registrars,110.0,0.7,65060.0,Health Information Technologists and Medical Registrars,0.3063,38100,74970.0,Healthcare Practitioners,33.693000000000005,7156600.0
27-1011,Art Directors,160.0,0.71,102330.0,Art Directors,0.2098,53070,129440.0,"Arts, Design & Media",33.568,16372800.0
29-1031,Dietitians and Nutritionists,250.0,0.74,74680.0,Dietitians and Nutritionists,0.1328,77570,77130.0,Healthcare Practitioners,33.2,18670000.0
25-4012,Curators,80.0,1.47,74460.0,Curators,0.4123,12150,71560.0,Education & Library,32.984,5956800.0
17-1011,"Architects, Except Landscape and Naval",410.0,0.9,99210.0,"Architects, Except Landscape and Naval",0.0784,106770,106260.0,Architecture & Engineering,32.144,40676100.0
39-9011,Childcare Workers,2610.0,1.19,33240.0,Childcare Workers,0.0122,518910,35030.0,Personal Care & Service,31.842000000000002,86756400.0
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,720.0,0.95,51570.0,First-Line Supervisors of Housekeeping and Janitorial Workers,0.0436,178760,53320.0,Building & Grounds,31.392,37130400.0
43-3051,Payroll and Timekeeping Clerks,630.0,0.97,58960.0,Payroll and Timekeeping Clerks,0.0487,153140,59630.0,Office & Administrative Support,30.681,37144800.0
13-2071,Credit Counselors,130.0,1.13,53380.0,Credit Counselors,0.2341,27770,57210.0,Business & Financial,30.433,6939400.0
19-4021,Biological Technicians,500.0,1.69,62090.0,Biological Technicians,0.0599,69620,61380.0,"Life, Physical & Social Science",29.95,31045000.0
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,120.0,0.23,44810.0,Reservation and Transportation Ticket Agents and Travel Clerks,0.2467,118710,49630.0,Office & Administrative Support,29.604,5377200.0
21-2011,Clergy,260.0,1.07,59760.0,Clergy,0.1116,57200,66860.0,Community & Social Service,29.016000000000002,15537600.0
19-3011,Economists,120.0,1.59,137150.0,Economists,0.2418,17790,142130.0,"Life, Physical & Social Science",29.016,16458000.0
13-1131,Fundraisers,620.0,1.31,75760.0,Fundraisers,0.0466,111040,77200.0,Business & Financial,28.892000000000003,46971200.0
25-1052,"Chemistry Teachers, Postsecondary",130.0,1.58,97030.0,"Chemistry Teachers, Postsecondary",0.2185,19980,105210.0,Education & Library,28.405,12613900.0
13-2031,Budget Analysts,420.0,2.09,96680.0,Budget Analysts,0.0672,47160,96370.0,Business & Financial,28.223999999999997,40605600.0
25-1122,"Communications Teachers, Postsecondary",130.0,1.07,82640.0,"Communications Teachers, Postsecondary",0.2111,29420,90010.0,Education & Library,27.443,10743200.0
