occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
25-2011,"Preschool Teachers, Except Special Education",1390.0,0.76,0.0,1900.0,1.01,2060.0,1.01,48.201438848920866,25
25-2012,"Kindergarten Teachers, Except Special Education",630.0,1.25,0.0,620.0,1.29,710.0,1.53,12.698412698412698,25
25-2021,"Elementary School Teachers, Except Special Education",5300.0,0.88,0.103,5290.0,0.9,5270.0,0.89,-0.5660377358490566,25
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2770.0,1.04,0.2972,2660.0,1.01,2760.0,1.05,-0.36101083032490977,25
25-2023,"Career/Technical Education Teachers, Middle School",70.0,1.35,0.0,60.0,0.95,60.0,0.77,-14.285714285714286,25
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",4030.0,0.91,0.2901,4240.0,0.93,4420.0,0.98,9.67741935483871,25
25-2032,"Career/Technical Education Teachers, Secondary School",520.0,1.36,0.0,500.0,1.14,490.0,1.05,-5.769230769230769,25
25-2051,"Special Education Teachers, Preschool",100.0,0.95,0.0058,110.0,0.89,80.0,0.66,-20.0,25
25-2057,"Special Education Teachers, Middle School",400.0,1.07,0.134,390.0,0.97,390.0,0.98,-2.5,25
25-2058,"Special Education Teachers, Secondary School",1240.0,1.84,0.0989,1250.0,1.81,1210.0,1.73,-2.4193548387096775,25
25-2059,"Special Education Teachers, All Other",50.0,0.25,0.0257,,,40.0,0.24,-20.0,25
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",240.0,1.5,0.0636,220.0,1.46,200.0,1.28,-16.666666666666668,25
25-3021,Self-Enrichment Teachers,1210.0,1.04,0.0662,1230.0,0.94,1440.0,1.02,19.00826446280992,25
25-3041,Tutors,310.0,0.45,0.4077,540.0,0.72,680.0,0.91,119.35483870967742,25
25-4011,Archivists,50.0,1.62,0.1348,50.0,1.55,60.0,1.65,20.0,25
25-4012,Curators,100.0,1.84,0.4123,90.0,1.75,80.0,1.47,-20.0,25
25-4013,Museum Technicians and Conservators,60.0,1.15,0.0,60.0,1.02,40.0,0.82,-33.333333333333336,25
25-4022,Librarians and Media Collections Specialists,710.0,1.24,0.2032,750.0,1.34,720.0,1.27,1.408450704225352,25
25-4031,Library Technicians,270.0,0.83,0.054,380.0,1.2,380.0,1.29,40.74074074074074,25
25-9021,Farm and Home Management Educators,50.0,1.34,0.0,50.0,1.07,40.0,1.04,-20.0,25
25-9031,Instructional Coordinators,1030.0,1.16,0.3043,1080.0,1.21,1050.0,1.09,1.941747572815534,25
25-9044,"Teaching Assistants, Postsecondary",210.0,0.33,0.1002,210.0,0.31,210.0,0.3,0.0,25
27-1011,Art Directors,150.0,0.69,0.2098,180.0,0.85,160.0,0.71,6.666666666666667,27
27-1021,Commercial and Industrial Designers,100.0,0.74,0.0437,90.0,0.71,130.0,0.91,30.0,27
27-1023,Floral Designers,110.0,0.59,0.0,120.0,0.69,110.0,0.63,0.0,27
27-1024,Graphic Designers,1000.0,1.11,0.3672,960.0,1.06,760.0,0.9,-24.0,27
27-1025,Interior Designers,390.0,1.36,0.0,410.0,1.39,400.0,1.33,2.5641025641025643,27
27-1026,Merchandise Displayers and Window Trimmers,1370.0,1.82,0.0,920.0,1.13,700.0,1.0,-48.90510948905109,27
27-1027,Set and Exhibit Designers,40.0,0.86,0.0,30.0,0.65,30.0,0.73,-25.0,27
27-2012,Producers and Directors,380.0,0.58,0.092,400.0,0.64,370.0,0.61,-2.6315789473684212,27
27-2022,Coaches and Scouts,970.0,0.95,0.0,1050.0,0.99,1150.0,1.08,18.556701030927837,27
27-2041,Music Directors and Composers,30.0,0.76,0.0368,50.0,0.89,40.0,0.79,33.333333333333336,27
27-3023,"News Analysts, Reporters, and Journalists",140.0,0.73,0.2098,170.0,0.94,120.0,0.7,-14.285714285714286,27
27-3031,Public Relations Specialists,1470.0,1.25,0.453,1580.0,1.33,1760.0,1.46,19.727891156462587,27
27-3041,Editors,330.0,0.81,0.246,320.0,0.79,290.0,0.74,-12.121212121212121,27
27-3042,Technical Writers,220.0,1.09,0.4747,190.0,0.8,180.0,0.91,-18.181818181818183,27
27-3043,Writers and Authors,350.0,1.67,0.2462,190.0,0.95,230.0,1.11,-34.285714285714285,27
27-3091,Interpreters and Translators,180.0,0.8,0.4304,180.0,0.81,140.0,0.61,-22.22222222222222,27
27-4011,Audio and Video Technicians,250.0,0.9,0.0173,520.0,1.74,330.0,1.09,32.0,27
27-4012,Broadcast Technicians,50.0,0.45,0.0197,80.0,0.94,100.0,1.15,100.0,27
27-4021,Photographers,220.0,0.96,0.195,270.0,1.25,270.0,1.23,22.727272727272727,27
27-4031,"Camera Operators, Television, Video, and Film",60.0,0.61,0.1651,60.0,0.6,50.0,0.59,-16.666666666666668,27
29-1011,Chiropractors,110.0,0.63,0.0,90.0,0.59,70.0,0.41,-36.36363636363637,29
29-1021,"Dentists, General",370.0,0.72,0.0309,460.0,0.95,650.0,1.23,75.67567567567568,29
29-1031,Dietitians and Nutritionists,290.0,0.93,0.1328,260.0,0.79,250.0,0.74,-13.793103448275861,29
29-1041,Optometrists,280.0,1.6,0.0,180.0,1.03,180.0,1.0,-35.714285714285715,29
29-1051,Pharmacists,1430.0,1.01,0.0896,1360.0,0.98,1350.0,0.99,-5.594405594405594,29
29-1071,Physician Assistants,530.0,0.86,0.0,470.0,0.72,620.0,0.9,16.9811320754717,29
29-1081,Podiatrists,90.0,2.11,0.0,60.0,1.47,40.0,1.09,-55.55555555555556,29
29-1122,Occupational Therapists,610.0,0.98,0.008,720.0,1.11,740.0,1.07,21.311475409836067,29
29-1123,Physical Therapists,1220.0,1.19,0.0174,1160.0,1.1,1300.0,1.14,6.557377049180328,29
29-1125,Recreational Therapists,120.0,1.75,0.0,100.0,1.56,110.0,1.7,-8.333333333333334,29
29-1126,Respiratory Therapists,530.0,0.96,0.0,560.0,0.97,630.0,1.07,18.867924528301888,29
29-1127,Speech-Language Pathologists,530.0,0.72,0.0,720.0,0.95,770.0,0.98,45.283018867924525,29
29-1128,Exercise Physiologists,50.0,1.56,0.0,50.0,1.51,60.0,1.7,20.0,29
29-1131,Veterinarians,420.0,1.26,0.0926,410.0,1.2,420.0,1.17,0.0,29
29-1141,Registered Nurses,13740.0,1.01,0.0595,15440.0,1.11,15700.0,1.09,14.264919941775837,29
29-1171,Nurse Practitioners,1310.0,1.1,0.0944,1100.0,0.85,1440.0,1.05,9.923664122137405,29
